0.019,0.009,0.042,0.257,0.119,1.0
0.187,0.33,0.063,1.289,0.197,6.0
0.44,0.625,0.096,3.546,0.472,5.0
0.182,0.267,0.059,0.811,0.195,5.0
-0.043,0.1,0.022,2.234,0.373,8.0
0.211,0.496,0.068,5.065,0.515,3.0
0.214,0.484,0.054,4.385,0.656,6.0
0.248,0.473,0.064,4.345,0.388,2.0
0.309,0.517,0.069,2.126,0.286,12.0
0.206,0.269,0.066,0.943,0.295,3.0
0.043,-0.013,0.06,0.328,0.11,10.0
0.011,0.024,0.037,0.571,0.241,7.0
-0.035,-0.124,0.025,0.539,0.139,4.0
0.586,0.784,0.115,5.337,0.519,1.0
-0.03,-0.064,0.025,0.667,0.202,6.0
0.038,-0.129,0.036,0.303,0.168,10.0
0.157,0.324,0.057,1.524,0.41,10.0
0.455,0.649,0.095,4.715,0.4,12.0
-0.071,-0.571,-0.001,0.313,0.084,5.0
0.038,0.477,0.046,9.387,0.818,2.0
0.06,0.213,0.045,1.411,0.31,8.0
-0.104,-0.674,-0.005,0.448,0.162,6.0
0.04,0.143,0.041,1.299,0.317,1.0
0.541,0.948,0.113,18.329,1.005,9.0
-0.019,-0.054,0.033,0.21,0.107,8.0
-0.002,0.062,0.028,0.764,0.229,11.0
0.197,0.248,0.056,0.638,0.131,9.0
0.378,0.378,0.088,0.665,0.173,1.0
0.285,0.574,0.061,3.989,0.414,12.0
-0.019,-0.068,0.028,0.323,0.136,7.0
0.203,0.232,0.059,0.72,0.204,9.0
0.428,0.473,0.089,2.197,0.421,6.0
0.087,0.214,0.047,0.961,0.249,3.0
0.005,0.121,0.029,0.873,0.233,11.0
-0.104,-0.038,0.011,0.82,0.228,3.0
-0.036,0.061,0.009,3.827,0.842,8.0
0.057,0.176,0.041,0.847,0.324,12.0
0.215,0.285,0.065,1.853,0.338,3.0
0.105,0.225,0.051,1.589,0.311,11.0
-0.045,0.132,0.031,1.858,0.419,1.0
0.114,0.129,0.054,0.662,0.141,3.0
-0.07,-0.188,0.017,0.287,0.14,7.0
0.024,0.139,0.046,0.952,0.228,1.0
0.095,0.09,0.048,0.406,0.132,10.0
0.145,0.262,0.051,1.579,0.306,11.0
0.055,0.054,0.042,0.433,0.126,1.0
0.273,0.362,0.064,1.217,0.269,7.0
0.044,0.136,0.038,0.674,0.171,5.0
0.318,0.551,0.07,4.573,0.339,11.0
0.22,0.342,0.068,1.107,0.19,1.0
0.157,0.229,0.058,0.801,0.213,5.0
0.16,0.351,0.055,2.209,0.312,9.0
0.012,0.111,0.023,1.492,0.295,9.0
0.319,0.231,0.067,0.722,0.124,6.0
0.571,0.492,0.114,0.279,0.088,9.0
-0.039,-0.187,0.03,0.193,0.11,8.0
0.471,0.809,0.092,5.869,0.681,6.0
0.213,0.071,0.053,0.446,0.203,2.0
-0.044,0.17,0.029,1.931,0.448,3.0
0.071,0.19,0.034,2.691,0.555,2.0
0.062,0.335,0.044,2.203,0.537,9.0
0.192,0.366,0.059,1.745,0.294,3.0
0.358,0.484,0.079,1.498,0.234,11.0
0.254,0.226,0.064,0.779,0.254,5.0
0.066,0.212,0.048,1.099,0.205,10.0
0.317,0.38,0.068,1.478,0.395,12.0
0.305,0.569,0.052,4.635,0.56,3.0
-0.007,0.042,0.031,0.76,0.298,12.0
0.066,0.181,0.043,0.994,0.273,9.0
0.296,0.39,0.075,1.671,0.317,12.0
0.588,0.634,0.13,0.846,0.149,11.0
0.08,0.17,0.048,0.725,0.252,9.0
0.373,0.63,0.088,4.54,0.607,7.0
0.094,0.111,0.059,0.438,0.129,3.0
0.158,0.174,0.054,1.03,0.302,1.0
0.202,0.22,0.062,0.725,0.131,7.0
0.117,0.453,0.048,6.586,0.777,2.0
-0.148,-0.554,0.006,0.21,0.103,12.0
0.092,0.228,0.045,1.895,0.248,7.0
0.268,0.318,0.063,3.479,0.323,1.0
0.017,-0.003,0.035,0.457,0.146,9.0
-0.061,-0.321,0.018,0.163,0.083,5.0
0.102,0.233,0.053,1.386,0.311,10.0
0.039,0.056,0.041,0.686,0.183,3.0
-0.111,-0.058,0.009,0.831,0.216,5.0
0.158,0.234,0.052,1.057,0.331,12.0
0.093,0.308,0.049,1.661,0.319,4.0
0.241,0.199,0.073,0.421,0.13,9.0
0.188,0.336,0.061,2.416,0.361,8.0
